Serial No,Names,URL
57,Al-Samawal,https://en.wikipedia.org/wiki/Al-Samawal
58,Ibn al-Banna',https://en.wikipedia.org/wiki/Ibn_al-Banna%27
59,Ja'far ibn Muhammad Abu Ma'shar al-Balkhi,https://en.wikipedia.org/wiki/Ja%27far_ibn_Muhammad_Abu_Ma%27shar_al-Balkhi
60,Muḥyi al-Dīn al-Maghribī,https://en.wikipedia.org/wiki/Mu%E1%B8%A5yi_al-D%C4%ABn_al-Maghrib%C4%AB
61,Mo'ayyeduddin Urdi,https://en.wikipedia.org/wiki/Mo%27ayyeduddin_Urdi
62,Persian,https://en.wikipedia.org/wiki/Persian_people
63,Taqi al-Din Muhammad ibn Ma'ruf,https://en.wikipedia.org/wiki/Taqi_al-Din_Muhammad_ibn_Ma%27ruf
64,Muhammad ibn Zakariya al-Razi,https://en.wikipedia.org/wiki/Muhammad_ibn_Zakariya_al-Razi
65,Ahmad ibn Mūsā ibn Shākir,https://en.wikipedia.org/wiki/Ahmad_ibn_M%C5%ABs%C4%81_ibn_Sh%C4%81kir
66,Hibat Allah Abu'l-Barakat al-Baghdaadi,https://en.wikipedia.org/wiki/Hibat_Allah_Abu%27l-Barakat_al-Baghdaadi
67,Al-Jazari,https://en.wikipedia.org/wiki/Al-Jazari
